sector_y,total_Gg,total_mi,coef_direct,coef_indirect,coef_total
"01 Crop and animal production, hunting and related service activities",48.0137,53.857,0.8915034257385298,0.14977959888679437,1.0412830246253242
02 Forestry and logging,0.1502,1.741,0.08627225732337736,0.0859135637879591,0.17218582111133646
03 Fishing and aquaculture,1.7841,2.639,0.6760515346722243,0.012070555533020833,0.6881220902052452
05-09 Mining and quarrying,2.0745999999999998,5.855,0.35432963279248497,1.0121922338482339,1.3665218666407188
"10-12 Manufacture of food products, beverages and tobacco products",6.285399999999999,125.432,0.0501100197716691,0.3660618110785554,0.4161718308502245
"13-15 Manufacture of textiles, wearing apparel and leather products",0.6073999999999999,19.434,0.0312545024184419,0.05432391259565641,0.08557841501409831
"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.4151,7.594,0.054661574927574404,0.10900325095605864,0.16366482588363304
17 Manufacture of paper and paper products,5.033,13.985,0.3598855917053987,0.27736959392831495,0.6372551856337136
18 Printing and reproduction of recorded media,0.2675,5.906,0.045292922451743996,0.06055031381155145,0.10584323626329545
19 Manufacture of coke and refined petroleum products,16.2672,37.683,0.4316853753682031,0.5090643456566739,0.940749721024877
20 Manufacture of chemicals and chemical products,14.3714,40.807,0.35217977307814835,0.7166684853787066,1.068848258456855
21 Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.966,16.591,0.05822433849677536,0.022786187488630427,0.08101052598540578
22 Manufacture of rubber and plastic products,0.5254,21.153,0.024838084432468207,0.20452822560580672,0.22936631003827493
23 Manufacture of other non-metallic mineral products,23.089,20.801,1.1099947117927023,0.27482739262714895,1.3848221044198512
24 Manufacture of basic metals,10.3154,30.182,0.3417732423298655,0.3220632041053134,0.6638364464351789
"25 Manufacture of fabricated metal products, except machinery and equipment",0.4611,38.293,0.01204136526258063,0.27289111307026526,0.2849324783328459
"26 Manufacture of computer, electronic and optical products",0.0386,5.336,0.007233883058470765,0.06412586082763691,0.07135974388610768
27 Manufacture of electrical equipment,0.2367,17.923,0.013206494448474028,0.11413508254488419,0.1273415769933582
28 Manufacture of machinery and equipment n.e.c.,1.1233,22.353,0.05025276249273028,0.2198171701672285,0.27006993265995877
"29 Manufacture of motor vehicles, trailers and semi-trailers",0.6818,68.756,0.00991622549304788,0.09032497708360901,0.10024120257665689
30 Manufacture of other transport equipment,0.21280000000000002,17.668,0.012044374009508719,0.0939905298538356,0.10603490386334433
31-32 Manufacture of furniture; other manufacturing,0.060700000000000004,11.618,0.005224651402995353,0.035410358296285735,0.040635009699281084
33 Repair and installation of machinery and equipment,0.151,13.807,0.010936481494893895,0.3448223603386617,0.3557588418335556
"35 Electricity, gas, steam and air conditioning supply",43.542199999999994,64.97,0.6701893181468369,1.2374841623203188,1.9076734804671556
"36 Water collection, treatment and supply",0.0815,10.546,0.007728048549212972,0.11779469038045476,0.12552273892966773
"37-39 Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services",13.5423,21.078,0.6424850555081127,0.4222793586622038,1.0647644141703165
41-43 Construction,3.4778000000000002,167.266,0.02079203185345498,0.24720020276659502,0.26799223462005
45 Wholesale and retail trade and repair of motor vehicles and motorcycles,0.36839999999999995,33.52,0.010990453460620523,0.09170067640671857,0.1026911298673391
"46 Wholesale trade, except of motor vehicles and motorcycles",1.5811,129.299,0.012228246158129605,0.6805789716319569,0.6928072177900865
"47 Retail trade, except of motor vehicles and motorcycles",1.4659,87.305,0.016790561823492353,0.3903002508774706,0.407090812700963
49 Land transport and transport via pipelines,24.9343,55.721,0.447484790294503,0.598464369114134,1.045949159408637
50 Water transport,3.3454,2.575,1.2991844660194174,0.029246802002965033,1.3284312680223824
51 Air transport,13.735100000000001,13.377,1.0267698288106453,0.01900493815141746,1.0457747669620627
52 Warehousing and support activities for transportation,0.8167000000000001,50.287,0.01624077793465508,1.0964768544205021,1.1127176323551573
53 Postal and courier activities,0.0535,5.615,0.009528049866429206,0.04525382879421011,0.05478187866063931
55-56 Accommodation; food and beverage service activities,2.7953,131.209,0.021304178829196167,0.0633682421321106,0.08467242096130677
58 Publishing activities,0.037,5.922,0.006247889226612631,0.020856006775717303,0.027103896002329934
"59-60 Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",0.062,13.468,0.0046035046035046035,0.027295070399515987,0.03189857500302059
61 Telecommunications,0.1029,31.223,0.0032956474393876314,0.23354189113178342,0.23683753857117104
"62-63 Computer programming, consultancy and related activities; information service activities",0.0757,41.724,0.0018143035183587387,0.1024091247117633,0.10422342823012204
"64 Financial service activities, except insurance and pension funding",0.1305,47.064,0.002772819989801122,0.226216805774151,0.2289896257639521
"65 Insurance, reinsurance and pension funding, except compulsory social security",0.0693,18.197,0.003808320052755949,0.07215868663246593,0.07596700668522187
